"filename", "language", "Python", "comment", "blank", "total"
"/mnt/Windows-SSD/Users/nagar/Desktop/my_project/cloude_AI/CODEEEE/Ui/tui.py", "Python", 45, 4, 9, 58
"/mnt/Windows-SSD/Users/nagar/Desktop/my_project/cloude_AI/CODEEEE/prompts/system.py", "Python", -123, -4, -24, -151
"Total", "-", -78, 0, -15, -93
