"filename", "language", "Python", "comment", "blank", "total"
"/mnt/Windows-SSD/Users/nagar/Desktop/my_project/cloude_AI/CODEEEE/prompts/system.py", "Python", 123, 4, 24, 151
"Total", "-", 123, 4, 24, 151
