"filename", "language", "Python", "comment", "blank", "total"
"/mnt/Windows-SSD/Users/nagar/Desktop/my_project/cloude_AI/CODEEEE/context/manager.py", "Python", -51, 0, -14, -65
"/mnt/Windows-SSD/Users/nagar/Desktop/my_project/cloude_AI/CODEEEE/prompts/system.py", "Python", 123, 4, 24, 151
"Total", "-", 72, 4, 10, 86
